inv_comp,inv_store,sku,ORD,quantity-purchased,Bin Location,product-id,ship-service-level,DESCRIPTION,order-id,purchase-date,link
20,0,OT_NEESHA H302_1B,1,1,,827298874812,Standard,QSNH302,114-0058854-8105049,2023-10-24T16:55:09+00:00,https://sellercentral.amazon.com/orders-v3/order/114-0058854-8105049
28,0,BY_MIKO_T530B,1,1,D06,842045051353,Standard,MIKO,111-8987980-9893854,2023-10-25T15:44:45+00:00,https://sellercentral.amazon.com/orders-v3/order/111-8987980-9893854
20,0,HZ_LPMDOU_1B,1,1,,803868558801,Standard,LPMDOU,112-2484379-1841814,2023-10-25T16:09:57+00:00,https://sellercentral.amazon.com/orders-v3/order/112-2484379-1841814
20,0,HZ_HWECBO14_F1B/30,3,3,,803868410055,Standard,HWECBO14,114-4402166-3655432,2023-10-25T16:46:21+00:00,https://sellercentral.amazon.com/orders-v3/order/114-4402166-3655432
20,2,OT_LOOSE CURL 18_S4/30,10,10,C05-G02,827298855002,Standard,QSWLC18,114-0141881-6619448,2023-10-25T17:24:36+00:00,https://sellercentral.amazon.com/orders-v3/order/114-0141881-6619448
20,0,HZ_IDPNPY18_1B,2,2,nan,803868461842,Standard,IDPNPY18,111-9980978-3445824,2023-10-25T19:11:11+00:00,https://sellercentral.amazon.com/orders-v3/order/111-9980978-3445824
20,2,OT_PURPLE PACK YAKI 14_T1B/2730,2,2,nan,827298708155,Standard,HWPYK14,113-3604995-0738643,2023-10-26T00:18:33+00:00,https://sellercentral.amazon.com/orders-v3/order/113-3604995-0738643
20,0,HZ_HWE3CS_S1B/30,2,2,nan,803868432057,Standard,HWE3CS,112-7006476-3572253,2023-10-26T00:44:23+00:00,https://sellercentral.amazon.com/orders-v3/order/112-7006476-3572253
158,3,BY_TONA_SNOW,2,2,B03,885160039172,Standard,TONA,111-6564624-7889840,2023-10-26T02:38:05+00:00,https://sellercentral.amazon.com/orders-v3/order/111-6564624-7889840
20,4,OT_QWPERUVIAN_2,2,2,A05,827298731283,Standard,QSBPE,112-2928290-6929046,2023-10-26T02:59:43+00:00,https://sellercentral.amazon.com/orders-v3/order/112-2928290-6929046
20,3,HZ_HWQSRO9_DXR273,1,1,nan,803868305757,Standard,HWQSRO9,114-6996674-3646601,2023-10-26T03:55:52+00:00,https://sellercentral.amazon.com/orders-v3/order/114-6996674-3646601
20,0,OT_HWMKP12_4,2,2,,827298954637,Standard,HWMKP12,113-9242461-6483458,2023-10-26T03:58:47+00:00,https://sellercentral.amazon.com/orders-v3/order/113-9242461-6483458
20,0,OT_AURYN_DR2730,1,1,,827298936930,Standard,QPNBXPAU,113-5156953-5224234,2023-10-26T04:04:55+00:00,https://sellercentral.amazon.com/orders-v3/order/113-5156953-5224234
129,0,BY_RMB MADELYN_99J,1,1,nan,885160245917,Standard,RMB MADELYN,114-7520929-9950644,2023-10-26T05:45:31+00:00,https://sellercentral.amazon.com/orders-v3/order/114-7520929-9950644
20,0,OT_PNY NEW YAKI 10_33,1,1,,827298848271,Standard,HWYP10P,112-5167335-6129804,2023-10-26T13:27:51+00:00,https://sellercentral.amazon.com/orders-v3/order/112-5167335-6129804
33,0,BY_DOLLY_2,1,1,F,885160145361,Standard,DOLLY,112-2742718-9794640,2023-10-26T14:01:19+00:00,https://sellercentral.amazon.com/orders-v3/order/112-2742718-9794640
15,0,VF_BRIE-V_99J,1,1,,781811677901,Standard,45614,113-1026065-5764262,2023-10-26T16:41:53+00:00,https://sellercentral.amazon.com/orders-v3/order/113-1026065-5764262
20,0,OT_SPIRALLY_4,1,1,,827298798330,Standard,HWPBSP5,114-2806074-1737845,2023-10-26T19:03:03+00:00,https://sellercentral.amazon.com/orders-v3/order/114-2806074-1737845
20,0,AL_NAOMI_T14/88,1,1,nan,660014707496,Standard,10397 T14/88,112-3416943-6443464,2023-10-26T21:28:54+00:00,https://sellercentral.amazon.com/orders-v3/order/112-3416943-6443464
146,0,BY_KOBY_T27B,2,2,D06,842045070392,Standard,KOBY,113-0387716-5419456,2023-10-26T21:32:51+00:00,https://sellercentral.amazon.com/orders-v3/order/113-0387716-5419456
